Baby Routine,Eating Food,Playtime Activities,Child Care
,,,
,,,
0.7798317565115174,0.11179054575949805,0.0161077024519594,0.09226999527702512
0.6209657052334896,0.1706478950187052,0.06508186374540857,0.14330453600239673
0.5300678797062685,0.19914155694352947,0.09262717113606891,0.17816339221413316
0.40625306010576284,0.2856417047721525,0.1500202351337331,0.15808499998835157
0.25691014571996085,0.3238577769736477,0.20526180638853136,0.21397027091786
0.169508094267355,0.34281881547928766,0.24509035311739719,0.2425827371359602
0.1400873243448454,0.3165646071073537,0.26537614961895745,0.27797191892884354
0.09795339413614357,0.295575961732424,0.27743377717373335,0.32903686695769907
0.07613992214702285,0.21598644908433484,0.3148575739674492,0.3930160548011931
0.04465855548305912,0.18371526233770538,0.3522864294617907,0.41933975271744484
,,,
,,,
