Baby Interaction,Parental Guidance,Child Needs,Fun Activities
,,,
,,,
0.4784387239333977,0.08322883213300128,0.0910090431446697,0.3473234007889313
0.2948973555704769,0.13188211042838763,0.14554009044024002,0.42768044356089546
0.26149912807419795,0.16979097364262608,0.15183888371229953,0.4168710145708765
0.25906023319956656,0.20711466716502783,0.1330627392946331,0.40076236034077245
0.1612713105113855,0.2774614372863745,0.17766778935843833,0.38359946284380164
0.142866261940266,0.2870662382172956,0.1832310502779389,0.3868364495644996
0.14452147253421832,0.29846606963655964,0.20349983571897012,0.353512622110252
0.15215783385569645,0.2526700498809686,0.2167440383974145,0.3784280778659204
0.11651397860790029,0.2384737976081312,0.3285331874306162,0.31647903635335234
0.09243763534807348,0.1936443483905938,0.40574104285015034,0.30817697341118233
,,,
,,,
